generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
3,3.109617,13.5,-6.097271,45.0,0.307754,83.7,-8.457850,13.1,CN(C)C([S-])=NN=Cc1cc(I)cc(I)c1[O-],"[4, 6, 16]",[]
3,3.196640,13.8,-6.703135,42.9,0.012230,17.7,-3.098615,42.2,C(NCc1ccccn1)C1=CNC=N1,"[8, 1, 13]","[{'functional_group': 'amide', 'smiles_inds': [6]}]"
3,3.232509,14.0,-30.704721,4.8,0.134628,75.0,-4.289256,32.6,CC(C)[NH2+]C(C1=NC=CN1)C1=NC=CN1,"[6, 11]",[]
3,3.371357,14.4,-6.272664,44.0,0.006823,11.0,-0.432839,88.8,CC1=NC(=NN1)c1cccc(n1)C1=NNC(=N1)C,"[16, 2, 11]",[]
3,3.374271,14.7,-2.318499,75.5,0.021650,28.9,-4.690687,31.0,Brc1cc(Br)c([O-])c(C=NC2CCC2)c1,"[9, 6]",[]
3,4.340127,16.7,-2.568153,71.6,0.001298,2.3,-0.806110,81.0,O=C1N(Cc2cc(CSc3ccccc3)[c-]c(CSc3ccccc3)c2)C(=O)c2ccccc12,"[8, 18, 15]",[]
3,4.426864,17.4,-28.574900,5.5,0.001758,3.2,-20.675704,0.5,[NH3+]CCNC(=O)c1ccnc(c1)c1cc(C)ccn1,"[18, 9]","[{'functional_group': 'carbonyl', 'smiles_inds': [1]}, {'functional_group': 'carboxylate', 'smiles_inds': [8]}, {'functional_group': 'phenyl', 'smiles_inds': [2]}]"
3,7.221420,29.4,-5.344990,47.9,0.000334,0.9,-0.010050,99.8,CC1=NN=C(S1)C1=NN=C(C)S1,"[3, 7]",[]
3,7.245743,29.6,-2.947450,65.8,0.000588,1.4,-5.225954,27.3,Brc1ccc(cc1)C1=N[N-]C(=N1)c1ccccn1,"[17, 9]",[]
3,7.287441,29.8,-3.011292,65.8,0.000998,2.3,-6.224263,20.9,Brc1cc(Br)cc(c1)C1=N[N-]C(=N1)c1ccccn1,"[10, 18]","[{'functional_group': 'phenyl', 'smiles_inds': [17]}, {'functional_group': 'cyano', 'smiles_inds': [7]}]"
3,7.287441,29.8,-3.011292,65.8,0.000998,2.3,-6.224263,20.9,Brc1cc(Br)cc(c1)C1=N[N-]C(=N1)c1ccccn1,"[10, 18]","[{'functional_group': 'ethyl', 'smiles_inds': [17]}]"
3,7.350646,30.5,-9.210072,32.8,0.001659,2.8,-3.223347,41.7,OC(=O)c1ccnc(c1)c1cc(ccn1)C(O)=O,"[14, 6]","[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [4]}]"
3,7.728737,32.6,-26.676590,5.5,0.017007,23.9,-22.028317,0.2,[NH3+]CCNC(=O)c1ccnc(c1)c1cc(C)ccn1,"[18, 9]",[]
3,7.770538,33.3,-5.912090,45.9,0.000548,1.4,-3.537761,38.5,Oc1ccccc1c1ccnc(c1)c1ccccn1,"[18, 10]",[]
3,7.770742,33.5,-2.740791,69.3,0.000410,0.9,-4.905135,28.9,Fc1cc(F)cc(c1)C1=N[N-]C(=N1)c1ccccn1,"[18, 10]",[]
3,7.841667,33.7,-3.228979,64.2,0.000898,2.3,-7.621167,15.6,CN([O-])C(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,"[2, 4]",[]
3,8.250371,38.1,-3.775049,59.6,0.001331,2.3,-3.558418,38.3,Nc1nc([S-])c2N=CNc2n1,"[4, 6]",[]
3,8.709184,39.2,-3.825599,59.2,0.001064,2.3,-10.986765,5.7,CCCN(CCC)C([S-])=NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,"[8, 11]","[{'functional_group': 'hydroxyl', 'smiles_inds': [5]}, {'functional_group': 'tribromo', 'smiles_inds': [2]}, {'functional_group': 'hydroxyl', 'smiles_inds': [0]}]"
3,9.314093,42.9,-6.318284,43.8,0.009141,14.9,-22.416078,0.2,OCc1ccc(cn1)c1ccc(cc1)C(=O)[O-],"[0, 7]",[]
3,17.820652,70.6,-8.826103,33.9,0.001560,2.8,-0.845486,80.7,O=C1N(Cc2ccc(CN(Cc3ccccn3)Cc3ccccn3)cc2)C(=O)c2ccccc12,"[9, 16, 23]",[]
3,164.473282,97.5,-97.152878,2.5,0.033529,42.4,-6.351082,20.6,[NH2+]1C2[NH2+]C1C1C34OC1(O3)C24,"[0, 2]","[{'functional_group': 'trifluro', 'smiles_inds': [4]}, {'functional_group': 'aldehyde', 'smiles_inds': [1]}]"
